"status_id","created_at","user_id","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x972261365846085637",2018-03-10 00:02:28,"x800501342653399040","TheNYevening","RT @TheNYevening: #CDC Doctor, Who Said #FluShot Caused Deadly Outbreak, Missing Feared Dead https://t.co/215cVdJcvT https://t.co/fUT5ramcZR","Twitter Web Client",140,,,,FALSE,TRUE,0,71,"CDC FluShot",,"nyeveningnews.com/2018/03/05/cdc…","https://t.co/215cVdJcvT","http://nyeveningnews.com/2018/03/05/cdc-doctor-said-flu-shot-caused-deadly-outbreak-missing-feared-dead/","http://pbs.twimg.com/media/DXin6TDXcAA3TOH.jpg","https://t.co/fUT5ramcZR","https://twitter.com/TheNYevening/status/970710401087307777/photo/1","photo","http://pbs.twimg.com/media/DXin6TDXcAA3TOH.jpg","https://t.co/fUT5ramcZR","https://twitter.com/TheNYevening/status/970710401087307777/photo/1",,"x800501342653399040","TheNYevening","en",,,,,,,,,,,,,,,,"x970710401087307777","#CDC Doctor, Who Said #FluShot Caused Deadly Outbreak, Missing Feared Dead https://t.co/215cVdJcvT https://t.co/fUT5ramcZR",2018-03-05 17:19:29,,33,"x800501342653399040","TheNYevening","The NY Evening",9821,10572,8315,"New York, NY","Truth, Justice and Wisdom!
We discuss Conspiracies, Alternative and Breaking News, Aliens, UFOs, Unexplained Phenomena.",FALSE,,,,,,,,,
"x972253857437900800",2018-03-09 23:32:37,"x51876703","sarahkbingler","RT @epaultaylor: We have been thinking about the #flushot all wrong: It may not always prevent illness, but it will reduce risk of death. B…","Twitter for iPhone",140,,,,FALSE,TRUE,0,2,"flushot",,,,,,,,,,,,,"x726103488","epaultaylor","en",,,,,,,,,,,,,,,,"x972132939663261696","We have been thinking about the #flushot all wrong: It may not always prevent illness, but it will reduce risk of death. By @TaraHaelle @NBCNewsThink Via @picardonhealth #influenza https://t.co/dknixIPeEA",2018-03-09 15:32:08,,5,"x726103488","epaultaylor","Paul Taylor",2797,316,20331,"Toronto","Patient Navigation Advisor at Sunnybrook Health Sciences Centre. Focused on #Health, #Science as well as Space.",FALSE,,,,,,,,,
"x972250726276661248",2018-03-09 23:20:11,"x205576004","DrJoeHaraszti","Flu season is almost over. Should you still get a flu shot?
https://t.co/jPIsVzjJOc
#flushot #health #news #pasadena #joejaraszti https://t.co/BGhssxER0I","Sprout Social",129,,,,FALSE,FALSE,0,0,"flushot health news pasadena joejaraszti",,"goo.gl/g3QGxv","https://t.co/jPIsVzjJOc","https://goo.gl/g3QGxv","http://pbs.twimg.com/ext_tw_video_thumb/972250696757194758/pu/img/WEvkw1HCYkTuzk_W.jpg","https://t.co/BGhssxER0I","https://twitter.com/DrJoeHaraszti/status/972250726276661248/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/972250696757194758/pu/img/WEvkw1HCYkTuzk_W.jpg","https://t.co/BGhssxER0I","https://twitter.com/DrJoeHaraszti/status/972250726276661248/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x972250725081329664",2018-03-09 23:20:11,"x41674924","ColinBBaker","Flu season is almost over. Should you still get a flu shot?
https://t.co/6unRzuuLXf
#flushot #health #news #pasadena #joejaraszti https://t.co/vUOpxEWTwg","Sprout Social",129,,,,FALSE,FALSE,0,0,"flushot health news pasadena joejaraszti",,"goo.gl/g3QGxv","https://t.co/6unRzuuLXf","https://goo.gl/g3QGxv","http://pbs.twimg.com/ext_tw_video_thumb/972250697067581441/pu/img/WO_QlafFFxrea3PI.jpg","https://t.co/vUOpxEWTwg","https://twitter.com/ColinBBaker/status/972250725081329664/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/972250697067581441/pu/img/WO_QlafFFxrea3PI.jpg","https://t.co/vUOpxEWTwg","https://twitter.com/ColinBBaker/status/972250725081329664/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x972250717888053248",2018-03-09 23:20:09,"x16735168","rogerscott","Flu season is almost over. Should you still get a flu shot?
https://t.co/ot4ZK4RGOG
#flushot #health #news #pasadena #joejaraszti https://t.co/wQxItO4KWU","Sprout Social",129,,,,FALSE,FALSE,0,0,"flushot health news pasadena joejaraszti",,"goo.gl/g3QGxv","https://t.co/ot4ZK4RGOG","https://goo.gl/g3QGxv","http://pbs.twimg.com/ext_tw_video_thumb/972250688548896768/pu/img/tfXtBuJ_JLSDFUz7.jpg","https://t.co/wQxItO4KWU","https://twitter.com/rogerscott/status/972250717888053248/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/972250688548896768/pu/img/tfXtBuJ_JLSDFUz7.jpg","https://t.co/wQxItO4KWU","https://twitter.com/rogerscott/status/972250717888053248/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x972250715061211136",2018-03-09 23:20:08,"x325770200","KISSMediaCo","Flu season is almost over. Should you still get a flu shot?
https://t.co/wEhcvtV1He
#flushot #health #news #pasadena #joejaraszti https://t.co/MzeGwc4gzn","Sprout Social",129,,,,FALSE,FALSE,0,0,"flushot health news pasadena joejaraszti",,"goo.gl/g3QGxv","https://t.co/wEhcvtV1He","https://goo.gl/g3QGxv","http://pbs.twimg.com/ext_tw_video_thumb/972250686812540930/pu/img/31YftXxNO0G4mxFX.jpg","https://t.co/MzeGwc4gzn","https://twitter.com/KISSMediaCo/status/972250715061211136/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/972250686812540930/pu/img/31YftXxNO0G4mxFX.jpg","https://t.co/MzeGwc4gzn","https://twitter.com/KISSMediaCo/status/972250715061211136/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x972250708572561408",2018-03-09 23:20:07,"x44375201","martavision","Flu season is almost over. Should you still get a flu shot?
https://t.co/G59JLjzMUi
#flushot #health #news #pasadena #joejaraszti https://t.co/53JDXC9PDm","Sprout Social",129,,,,FALSE,FALSE,0,0,"flushot health news pasadena joejaraszti",,"goo.gl/g3QGxv","https://t.co/G59JLjzMUi","https://goo.gl/g3QGxv","http://pbs.twimg.com/ext_tw_video_thumb/972250697201848320/pu/img/9Txcfozj7eBiqQrt.jpg","https://t.co/53JDXC9PDm","https://twitter.com/martavision/status/972250708572561408/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/972250697201848320/pu/img/9Txcfozj7eBiqQrt.jpg","https://t.co/53JDXC9PDm","https://twitter.com/martavision/status/972250708572561408/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x972243036603166720",2018-03-09 22:49:37,"x2945423750","asiamoonbloom","RT @kenjaques: Pulling back the curtain on chronic disease, vaccines and health care. Amazing... MUST WATCH.
Remember the @ClevelandClinic…","Twitter for iPhone",139,,,,FALSE,TRUE,0,22,,,,,,,,,,,,,,"x224691493 24236494","kenjaques ClevelandClinic","en",,,,,,,,,,,,,,,,"x954358478805651462","Pulling back the curtain on chronic disease, vaccines and health care. Amazing... MUST WATCH.
Remember the @ClevelandClinic doctor who wrote a #flushot column last yr? Listen &amp; share

#IStandWithDrNeides

https://t.co/mqHCkLRuaU via @youtube",2018-01-19 14:22:47,,35,"x224691493","kenjaques","Ken Jaques",16511,15712,25972,"Burlington, ON, CA","Creating Healthy Communities Worldwide  Mission: lessen chronic disease, make health care systems sustainable

Founder, #myHealthyCommunity -- Join us at mHC!",FALSE,,,,,,,,,
"x972242480279285760",2018-03-09 22:47:25,"x1210504903","AndreMollema","RT @OTT_CPmedic: Influenza is still affecting our community.  Here are some tips from Ottawa Public Health and your #CommunityParamedics .…","Twitter for Android",139,,,,FALSE,TRUE,0,16,"CommunityParamedics",,,,,,,,,,,,,"x940307857689387008","OTT_CPmedic","en",,,,,,,,,,,,,,,,"x972125012655202304","Influenza is still affecting our community.  Here are some tips from Ottawa Public Health and your #CommunityParamedics .

@ottawahealth @champlainlhin @ottawaparamedic #influenza #beaflufighter #WashYourHands #CoverYourCough #StayHomeIfSick #FluShot https://t.co/Iq6HsYO3YE",2018-03-09 15:00:38,,13,"x940307857689387008","OTT_CPmedic","CommunityParamedics",124,90,260,"Ottawa, Ontario","#Ottawa #CommunityParamedics #ParamédicsCommunautaire
#Paramedic #Paramédic 
Account not monitored 24/7.
Cette page n’est pas surveillée 24/7.",FALSE,,,,,,,,,
"x972219884342947840",2018-03-09 21:17:38,"x1939332804","fastrunner2b","RT @OTT_CPmedic: Influenza is still affecting our community.  Here are some tips from Ottawa Public Health and your #CommunityParamedics .…","Twitter Web Client",139,,,,FALSE,TRUE,0,16,"CommunityParamedics",,,,,,,,,,,,,"x940307857689387008","OTT_CPmedic","en",,,,,,,,,,,,,,,,"x972125012655202304","Influenza is still affecting our community.  Here are some tips from Ottawa Public Health and your #CommunityParamedics .

@ottawahealth @champlainlhin @ottawaparamedic #influenza #beaflufighter #WashYourHands #CoverYourCough #StayHomeIfSick #FluShot https://t.co/Iq6HsYO3YE",2018-03-09 15:00:38,,13,"x940307857689387008","OTT_CPmedic","CommunityParamedics",124,90,260,"Ottawa, Ontario","#Ottawa #CommunityParamedics #ParamédicsCommunautaire
#Paramedic #Paramédic 
Account not monitored 24/7.
Cette page n’est pas surveillée 24/7.",FALSE,,,,,,,,,
